,For_key_ID,LSST_u,LSST_g,LSST_r,LSST_i,LSST_z,VIS,NISP_Y,NISP_J,NISP_H,z,t/Gyr,M*,M_initial,Z,SFH,tau/Gyr,Av_law,Av,t_l,physical,delta_LSST_u,delta_LSST_g,delta_LSST_r,delta_LSST_i,delta_LSST_z,delta_VIS,delta_NISP_Y,delta_NISP_J,delta_NISP_H
204434,958281,21.88533951785112,20.883904519112388,20.413633189175364,20.009440108799435,19.675126087113934,20.24475383330196,18.831858785197234,18.563679556709115,17.89867464989912,1.37,0.05,0.8265,10000000000.0,0.3,1.0,3.0,1.0,0.6,9.16012,True,0.035312162955983564,0.018748404717851,0.026945380453829063,0.031617266506133265,0.03372906637076456,0.01438017992478334,0.03463891818129281,0.029950516756948143,0.02215156018415898
172732,810520,22.755044398282514,22.327557219226517,21.235901186305696,19.6748963713897,19.20761379667563,20.360462182447293,18.44416336829234,17.485100439395993,16.47474152209528,0.68,1.0,0.6577,10000000000.0,0.3,1.0,1.0,1.0,0.4,6.3556194,True,0.04918178874078735,0.033472204790628755,0.037452802460844516,0.027494404640313032,0.02768243698446859,0.015056510105655788,0.029420111881705364,0.01933411600206927,0.012630028192284192
93029,591511,15.673284666549476,15.496383595093985,15.728689717330193,15.772251135012413,16.042029266434806,15.815093396846466,16.48087123303385,16.832260549052137,17.158268109698504,2.57,0.02,0.8752,10000000000.0,0.3,1.0,1.0,0.0,0.0,11.2334185,True,0.003055514295682648,0.0021677256673060838,0.004133180007167923,0.005589903620517138,0.007527388305171669,0.002458806315653188,0.013067855392475923,0.014851294834221063,0.01654871665053163
109983,637995,17.784754621280516,17.239792225461656,17.132307054159845,17.128347234131162,17.270661801342627,17.18080704956445,17.462511259091652,17.115353386274347,16.965846175728213,2.34,0.01,0.9128,10000000000.0,-0.3,1.0,0.1,1.0,0.4,10.9710617,True,0.007077572388575291,0.004355162057892115,0.0072471011004647265,0.009673960727108707,0.012414359564812658,0.004242328747906806,0.019556193239059175,0.016649619772636046,0.015337844130367128
6772,106929,19.102883330652254,15.602728576616675,15.524708637794006,15.667420354751155,15.83070126170132,15.623994062452764,16.183687984328266,16.79071860843835,17.296699340302546,3.35,0.005,0.9508,10000000000.0,0.0,1.0,3.0,1.0,0.2,11.879293400000002,True,0.011924613729659351,0.002261956871253135,0.0038092924853803632,0.005358513386245874,0.006909463388770623,0.0022780556019440412,0.011575088493912368,0.014604420198185829,0.01747770158741115
195465,877039,17.162760996027682,17.263493680253973,17.617097575978953,17.74045413382069,17.38607773936257,17.653194501643924,16.72603220350672,16.96414939574923,17.209379809529455,1.32,0.1,0.7767,10000000000.0,0.0,1.0,0.1,0.0,0.0,9.0179243,True,0.005528461887545276,0.004396674554512117,0.008798412512711684,0.01240750103144446,0.0130150044211209,0.0051225277525044155,0.01444655581948171,0.015663338010006928,0.016885904158868467
123017,669779,23.57559662078056,23.35427253713621,22.690653289198128,20.67691023810868,19.978919122536173,21.475276394437603,19.360546711668814,18.8969311142479,18.26252205884888,0.82,1.5,0.633,10000000000.0,0.0,1.0,1.0,1.0,0.2,7.1092262,True,0.06683505656884382,0.05059694787394649,0.06708791888681233,0.041899063881968776,0.038395852971698514,0.02342309716494341,0.04338347340936242,0.03430870454806538,0.025550789260238196
194481,876053,24.046187623083444,19.405710223882227,19.010055517292983,19.207437360505732,19.297130865718767,19.187262239043434,19.50223339607945,20.009466370632,19.91949529125646,3.48,0.05,0.8201,10000000000.0,0.0,1.0,0.1,0.0,0.0,11.960638,True,0.07942629783367625,0.01036679044992394,0.015363293237785337,0.02264666834358566,0.0287451328386152,0.00944244187192808,0.04610672977370215,0.05416070638761703,0.04863672459170007
42923,272290,17.20076436740456,16.723389349958097,16.612731010717372,16.646074592426288,16.784551669966117,16.671005605120335,16.977122785122358,16.685695893948548,16.817398398554104,2.17,0.008,0.9261,10000000000.0,0.0,1.0,0.1,1.0,0.4,10.7472382,True,0.005612602947122522,0.0035419654451952945,0.005886868300173528,0.007956541273638798,0.0101794501512512,0.0034610216818264827,0.016013428314623913,0.013998590843072777,0.014463863679666403
45384,275252,19.84332181174414,19.617213331491055,19.447983503583128,19.384724764316065,19.345430483117113,19.47484107721424,18.59454423607048,18.25071458884827,18.347178552956194,1.74,0.05,0.8201,10000000000.0,0.0,1.0,0.1,1.0,0.4,10.029377,True,0.01596042015824961,0.011283512645936406,0.018306457848966312,0.02437161561978421,0.0293362312212461,0.01058776564822398,0.031338941230556215,0.02637086162996036,0.02641218435616729
